id,name,edate,ctype,twitter,link,incdate,incnum,cdate,creason,creasonx,ophqcity,ophq,leghqcity,leghq,arbjur,cryptonative,classifier,description,fte,verified,comments
10152,BlockTrail,2014-01-01,Private,@blocktrail,http://web.archive.org/web/20170425200845/https://www.blocktrail.com/#,2014-03-19,NL853833035B01,2016-07-19,Aquired by Bitmain - rebranded as BTC.com,A,Amsterdam,Netherlands,Amsterdam,Netherlands,Unidentified,Native,"2014-01-01:152512303;
2015-01-01:152512303,121611601;","Block Explorer (2014), Bitcoin API (2014), Developer Platform (2015); Wallet (2015);","2016-04-23:7;
2017-04-23:3",TRUE,"Legal Name: BlockTrail B.V.

Interesting case: Has ben acquired by bitmain 2016-07-01. The service contiuned to run until integrated into BTC.com. 2019-03-04 got rekt by bitmain as integrated into BTC.com complete 

http://web.archive.org/web/20170216061259/https://blog.blocktrail.com/2016/07/blocktrail-is-now-a-part-of-the-bitmain-family/"
10153,Bonafide,2014-05-01,Private,@bonafideIO,http://web.archive.org/web/20150927040033/https://bonafide.io/,2014-04-08,5513134,2015-11-01,"Not enough interest in their product, shut down",R,"San Francisco, California",United States,Delaware,United States,United States,Native,193723800,Identity & Reputation System,,TRUE,"Bitcoin reputation startup Bonafide has elected to cease operations and commence liquidation less than one year after raising $850,000 from investors including Blockchain Capital and Quest Venture Partners."
10155,Brawker,2014-04-01,Private,@brawker,http://web.archive.org/web/20141219131628/https://brawker.com/,2013-11-15,1997376,2015-04-14,Shut down due to low growth and increased workload,R,Unidentified,Unidentified,Hong Kong,Hong Kong,Unidentified,Native,111301202,Proxy-Buyer platform to buy anything on the Internet with Bitcoin,,TRUE,
10156,Breadwallet,2014-06-01,Private,@BRDHQ,https://brd.com/,2017-05-03,CHE-357.612.662,,,,Zurich,Switzerland,Schwyz,Switzerland,Switzerland,Native,121611601,Mobile Wallet (Self-custody),2019-07-08:40,TRUE,"Japanese financial services giant SBI GroupвЂ™s crypto subdepartment SBI Crypto Investment Co., Ltd., has invested in crypto-focused digital wallet Breadwinner AG (BRD). SBI Group is a public company. Their parent company was SoftBank until 2006.
, the first binance ""launchpad"" (IEO) project, conducting a successful raise on the binance platform (12/2017)"
10157,bridge21,2014-06-26,Private,@bridge21inc,https://bridge21.com/,2014-06-26,5559302,,,,Denver,United States,Delaware,United States,United States,Native,"111311302,111311301","Money Transfer Platform Mexico/USA, Survey data indicates ""General-purpose money transfer"", ""B2B cross-border payments"",""Personal remittances""",2019-08-21:6,TRUE,"bridge 21 Inc. was formerly known as Novauri LLC. Novauri was the first company in the world to let customers buy and sell digital currencies while controlling their wallets and private keys. bridge21 acquired ChainID LLC, an intellectual property holding company, in 2015. bridge21 Inc. was founded in 2014 and is based in Denver, Colorado."
10158,Bridgewalker,2013-03-01,Private,@bridgewalkerapp,https://www.bridgewalkerapp.com/,2013-01-01,,2013-11-18,Acquired by Hive: https://www.coindesk.com/bitcoin-wallet-hive-purchases-android-app-bridgewalker,A,,Germany,,Unidentified,Unidentified,Native,121601500,Hedged Account Wallet,"2013-01-01:1
2015-01-01:1",,https://www.bridgewalkerapp.com/blog/2014/03/14/bridgewalker-shutdown/
10159,BSAVE,2016-01-01,Private,@bsave_io,https://web.archive.org/web/20171106173045/https://www.bsave.io/,2015-07-24,9701082,2019-03-23,Acquired by Celcius,A,London,United Kingdom,London,United Kingdom,United Kingdom,Native,173113100,Bitcoin Savings Account Platform,2019-08-13:31,,
10160,BTC Gear,2012-07-01,Private,@BTCGear,http://web.archive.org/web/20140726132110/http://btcgear.com/,2012-01-01,,2014-01-01,"Founder was thinking about selling company, since then no information --> considered shut down",R,"Carslbad, California",United States,Unidentified,Unidentified,Unidentified,Native,111301202,Shop/Proxy-Buyer Platform to buy anything on the Internet with bitcoin,,,
10161,BTC Guild,2011-05-01,Private,,http://web.archive.org/web/20110806102548/http://btcguild.com/,2011-05-01,,2015-06-30,"Defunct, threat of BitLicense, shrinking profitability",R,"New York City, New York",United States,Unidentified,United States,United States,Native,131901705,Mining Pool,,,
10162,BTC Media,2013-01-01,Private,@btcmediaorg,https://b.tc/,2014-06-20,5552734,,,,"Nashville, TN",United States,Delaware,United States,United States,Native,"162812700,162822800,162822801,193723801,193723802","Media ""Bitcoin Magazine"" and ""ybitcoin"", Podcast, Marketing/Communication Strategy, Community Management, Event",,TRUE,https://tnbear.tn.gov/Ecommerce/FilingDetail.aspx?CN=044029207164051059051245101029196051247151037214
10165,BTC Oracle,2013-04-01,Private,@btcoracle,http://web.archive.org/web/20160109061509/http://btcoracle.com/,2013-01-01,,2017-07-29,Hello dear visitor. Our service will be shut down soon. All opened options will be dealt with as usual but no new option will be accepted. Thank you all for your support and loyalty.,R,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Native,"101011100,183423500","Binary Options Broker Website, oracle",,TRUE,
10166,BTC Trinkets,2012-11-01,Private,@BTCTrinketscom,,2012-01-01,,2018-07-16,"Appears Defunct, Domain Expired",R,Helsinki,Finland,Helsinki,Finland,Finland,Native,111301203,Bitcoin Niche Items Shop,,,
10167,BTC Trip,2013-06-01,Private,@btctrip,https://btctrip.com/,2013-01-01,,2017-01-01,,R,"San Francisco, California",United States,Florida,United States,United States,Native,111301203,Bitcoin Travel Agency,,TRUE,
10170,"2015-01-01:""BTCexpress"";
2019-03-12:""Xentum""",2015-01-01,Public,,http://www.xentum.ch/,2017-12-07,CHE-428.565.073,,,,Baar,Switzerland,Zug,Switzerland,Switzerland,Native,101011100,"Brokerage Services, Payment processing(?)",,TRUE,
10171,BTCjam,2012-01-01,Private,@btcjam,btcjam.com,2012-01-01,,2017-05-01,"""Regulatory challenges around Bitcoin and the difficulties we faced in introducing Bitcoin technology to poor communities around the world are simply beyond our capacity"".",R,,United States,,United States,,Native,173103000,P2P Lending Platform,,TRUE,
10172,BTClevels,2013-07-01,Private,@BTClevels,https://web.archive.org/web/20180420221232/https://www.btclevels.com/,2013-01-01,,2019-01-14,Defunct,R,Unidentified,Unidentified,Victoria,Seychelles,Seychelles,Native,101001000,Bitcoin Binary Options Platform,,TRUE,Legal name: Trust Financial Systems inc.
10173,BTCPoint,2015-01-01,Private,,http://www.btcpoint.nl/index.html,2014-01-01,71470808,,,,Hootn,Netherlands,Hoorn,Netherlands,Netherlands,Native,"101021200,193713700","Bitcoin-to-Cash Service via local bank ATM network, consultancy",,TRUE,
10175,BTCXIndia,2014-05-05,Private,https://twitter.com/btcxindia,https://www.btcxindia.com/,2013-11-25,U67190AP2013PTC091266,2018-03-05,Operations halted due to unfavourable government stance,R,Hyderabad,India,Hyderabad,India,India,Native,101011100,Brokerage services,,TRUE,Domain dysfunctional. Legal name
10176,Bter,2013-01-01,Private,https://twitter.com/btercom,bter.com,2013-01-01,Unidentified,2017-12-01,"Defunct, closed ""in compliance with local policy in China"" very sad",R,"Jinan, Shandong",China,,British Virgin Islands,Unidentified,Native,101001000,Multi-Coin Exchange,,TRUE,Parent company: MaxCloud Inc.Popular between 2013 and 2017
10178,BTX Trader,2013-01-01,Private,,,2013-01-01,5442818,2013-12-01,"Acquired by ""WPCS""",A,"New York City, New York",United States,"Wilmington, Delaware",United States,United States,Native,101001000,Trading Platform,,TRUE,
10180,Buttercoin,2013-01-01,Private,@Buttercoin,,2013-01-01,5630551,2015-04-15,Filed for bankruptcy due to lack of funding,R,"Palo Alto, California",United States,"Wilmington, Delaware",United States,United States,Native,101001000,Exchange,,TRUE,
10181,Butterfly Labs,2012-01-01,Private,@ButterflyLabs,,2011-01-01,,2014-09-01,"Lawsuit against founder for fraud, no activity since then.",R,Kansas,United States,Kansas,United States,United States,Native,"131901700,131901703",Mining Hardware (ASIC); Cloud Mining,,TRUE,
10182,BuyBitcoin.ph,2014-01-01,Private,@BuyBitcoinPH,https://www.buybitcoin.ph/,2013-01-01,,,,,Manila,Philippines,Manila,Philippines,Philippines,Native,"2014-01-01:101011100;
2015-02-01:101011100,111311302,111301201;
2016-01-01:101011100,111311302,111301201,121601500","Brokerage Services, Remittance (""Rebit.ph"",2015-02-01), Bill payment (""Rebit.ph"",2015-02-01),Third-party mobile wallet (""Bitbit.ph"", 2016-01-01)",,TRUE,acquired by https://sci.ph/ Rebittance Inc. A wholly owned subsidiary of Satoshi Citadel Industries (see:http://www.bsp.gov.ph/banking/MSBs.pdf) in 2015-04-01
10184,CampBX,2011-01-01,,@CampBX,,2011-01-01,,2017-11-13,Defunct,R,"Atlanta, Georgia",United States,"Atlanta, Georgia",United States,United States,Native,101001000,"Exchange; Trading Platform (2013 Short-Selling, Margin Trading)",,,
10185,Canaan,2013-01-01,"2013-01-01:""Private"";
2019-11-29:""Public""",@canaanio,https://www.canaan.io/,2012-03-01,,,,,Beijing,China,"2013-01-01:""Beijing"";
2015-01-01:""Hangzhou"";
2018-02-01:""Grand Cayman""","2013-01-01:""China"";
2018-02-01:""Cayman Islands""",Unidentified,Native,"131901703,131901702","""Avalon"" Mining Hardware; Cloud Mining",,TRUE,https://www.sec.gov/Archives/edgar/data/1780652/000119312519276263/d773846df1.htm#rom773846_1
10186,Card for Coin,2014-05-01,Private,@cardforcoin,,2014-02-01,4083494,2019-08-30,Defunct Soon,R,California,United Kingdom,"Wilmington, Delaware",United States,United States,Native,111301204,"Get Bitcoin for Gift Cards; ""Fold"" Get Gift Cards at Starbucks & Walmart with discounts for bitcoins",,TRUE,"""CardForCoin will be shutting down operations."""
10187,Casascius,2011-09-01,Private,,https://casascius.com/,2013-02-25,8591587-0160,2013-12-01,"Preliminarily Shut down in anticipation of regulation issues with FinCEN, Now active again.",R,Utah,United States,"Sandy, Utah",United States,United States,Native,162822804,"Physical bitcoins ""manufacturer"" and seller (Collectible). As of 2013 does not sell Bitcoin, only metal coins. Therefore pivoted away from crypto.",,TRUE,
10188,Case,2015-03-02,Private,@CaseWallet,http://web.archive.org/web/20150709225419/https://choosecase.com/,2015-03-02,5701912,2017-07-31,Same Legal enity is now offering Tokenrings,P,Rochester,United States,Delaware,United States,United States,Native,121611602,Hardware Wallet,,TRUE,"Quieted pivot --> Website still live and accessible (however no SSL Certficate for websites) hence back to safety. Website indicates a slow closure (no SSL certifcate & Sold out). 
Operate now as: https://tokenring.com/
https://www.sec.gov/Archives/edgar/data/1637506/000163750618000002/xslFormDX01/primary_doc.xml
Tokenize Inc, which was formerly know as Case Wallet Inc"
10189,Cash To Crypto,2013-01-01,Private,@CashToCrypto,http://web.archive.org/web/20181002222348/http://www.cashtocrypto.com/,2013-01-01,14005385,2014-11-06,Defunct,R,Atlanta,United States,Atlanta,United States,United States,Native,"2014-01-01:101011100;
2016-01-01:101011100,101021200","(2014) Brokerage Services (only sell bitcoin, no buying), ATM Provider (2016)",,TRUE,"https://ecorp.sos.ga.gov/BusinessSearch/BusinessInformation?businessId=1897165&businessType=Domestic%20Limited%20Liability%20Company&fromSearch=True

http://bittrust.org/cash-to-crypto/6"
10191,Cashila,2014-01-01,Private,@cashilacom,http://web.archive.org/web/20141219050043/https://www.cashila.com/,2014-12-04,3621111,2017-06-01,"Defunct, formally closed to found Iconomi",R,Pitkovice,Czechia,Pitkovice,Czechia,Czechia,Native,"2014-01-01:111301201;
2015-01-01:111301201,111311302,111311300",Payment Processor,,,
10192,Cavirtex,2011-06-01,Private,,,2011-01-01,4519331,2015-04-01,"Acquired by ""Coinsetter"", after shutting down operations in February 2015 following a security breach. Later Coinsetter acquired by Kraken.",A,"Calgary, Alberta",Canada,Unidentified,Unidentified,Canada,Native,101011100,Exchange; API interface,,,Ultimately acquired by Kraken on 19/01/2016
10202,Circle,2014-02-01,Private,@circlepay,https://www.circle.com,2013-08-07,"531058
",,,,"Boston, Massachussetts",United States,Dublin,Ireland,Ireland,Native,"2014-02-01:121601500,111311302,101011100;
2017-11-01:121601500,111311302,101011100,101011101;
2018-02-26:121601500,111311302,101011100,101011101,152532500,101001000;
2018-09-26:121601500,111311302,101011100,101011101,152532500,101001000,214604200;
2018-10-05:121601500,111311302,101011100,101011101,152532500,101001000,214604200,214304100;
2019-10-18:121601500,111311302,101011100,101011101,214604200,214304100;","Wallet (Deslktop, Mobile, Web, Third party, 2014); Brokerage Services; Insured Accounts; Money Transfer Platform/ Remittances (""Circle Pay"", 2014); Research arm (""Circle Research"" 2018, paused in October 2019), OTC (""Circle Trade"", 11/2017), Order-book (""Poloniex"", 26/02/2018 until 18/10/2019), Investment (""SeedInvest"", Acquired 05/10/2018), Token issuer (USDC, 26/09/2018)","2017-01-01:147;
2018-01-01:250;
2019-05-01:270",TRUE,"Parent company: Circle Internet Financial Ltd (Irish)
Several subsidiaries: Poloniex, Circle Pay, Circle USD, Circle Internet Financial, Inc., a Delaware corporation (5381921, incorporated on 12/08/2013)
Also have office in: Hong Kong, France, UK, Italy
525701;
540941"
10212,Coin Sciences,2014-01-01,Private,@CoinSciences,https://www.multichain.com/about-coin-sciences-ltd/,2014-03-20,8950954,2015-01-01,Pivoted towards enterprise blockchain,P,Tel Aviv,Israel,London,United Kingdom,United Kingdom,Native,"204003900,152512303","Open-Source Colored Coins Platform ""CoinSpark""; Bitcoin Metadata (OP_Return) Explorer ""Coin Secrets""; Pivot towards Customized Blockchains ""Multichain"" (2015)",,TRUE,"We develop MultiChain (www.multichain.com), the popular open source blockchain platform, used for client project development by over 100 partners including Accenture, PricewaterhouseCoopers and SAP."
10214,Coin-Swap,2013-12-01,Private,@coinswapnet,https://web.archive.org/web/20150124053556/https://coin-swap.net/,2014-01-01,,2015-03-22,"Sold to ""GAW Miners"" who used its trading engine for their Paycoin Exchange",A,"Tampa, Florida",United States,Unidentified,Unidentified,Unidentified,Native,101001000,Multi-Coin Exchange (without account/wallet),,,
10215,Coin.co,2014-04-15,Private,,https://web.archive.org/web/20170716213408/https://coin.co/,2014-01-16,4514583,2017-09-01,"Operations ceased temporarily, however, website still active.",R,NY,United States,New York,United States,United States,Native,111301200,Payment Processor (Merchant services),,TRUE,
10216,Coin.mx,2013-03-01,Private,@coin_mx,http://coin.mx/,2013-01-01,,2015-07-01,Founders arrested by FBI for money laundering charges for operating an illegal bitcoin exchange in violation fo federal anti money laundering laws.,R,Florida,United States,Florida,United States,United States,Native,"111301200,101001000","Exchange, merchant processing",,,"Information about operations can be found here: https://regmedia.co.uk/2017/06/27/murgiosentencingsubmission.pdf
Disguised as 'private membership association' of collectibles for the period of operation."
10217,Coinabul,2011-10-01,Private,@coinabul,https://web.archive.org/web/20130328004725/http://coinabul.com/,2010-07-15,2010-000587282,2015-09-08,"Class action lawsuit in 2014 for alleged fraud (last shipments made in June 2013, but accepting incoming orders and payments later --> no information available since then",R,Unidentified,United States,Wyoming,United States,United States,Native,101011100,Bitcoin-to-Gold/Silver Service,,,Incoporation number available here: https://wyobiz.wy.gov/business/FilingDetails.aspx?eFNum=184091123241020161231070245047214108020047212114
10219,"Coinapult",2012-04-01,Private,@Coinapult,https://web.archive.org/web/20180224041832/https://coinapult.com/,2012-01-01,,2018-12-01,"Integrated with Crypto Capital in 2015, now defunct (01/12/2018: Defunct_",R,Panama,United States,Panama,United States,Panama,Native,"2012-04-01:121601500,101011100;
2014-01-01:121601500,101011100,111301200","Wallet (including ""Send-by-SMS/e-mail""); Brokerage Services; Price Hedging (""Locks"", 2014); Payment Processor (2014)",,TRUE,
10220,Coinarch,2014-01-01,Private,@coinarch,https://www.coinarch.com/,2014-01-01,,2015-11-01,"Shut down website after previous announcement to customers, no reason given",R,Singapore,Singapore,Singapore,Singapore,,Native,101001000,"Bitcoin Trading and Investment Products (Derivatives; Margin Trading; Interest-bearing accounts, etc)",,TRUE,"The website lists 'trading solutions' as its activity, not exactly sure which ""type"" of activities"
10221,Coinbase,2012-06-20,Private,@coinbase,https://www.coinbase.com/,2012-05-14,5154317,,,,San Fransciso,United States,"Wilmington, Delaware",United States,United States,Native,"2012-06-20:101011100,121601500;
2013-01-01:101011100,121601500,152512301,111311302;
2014-01-01:101011100,121601500,152512301,111311302,152512303;
2015-01-01:101011100,121601500,152512301,111311302,152512303,101001000;
2015-11-01:101011100,121601500,152512301,111311302,152512303,111301204,101001000;
2017-09-04:101011100,121601500,152512301,111311302,111301204,101001000;
2018-02-14:101011100,121601500,152512301,111311302,111301204,101001000,111301200;
2018-12-01:101011100,121601500,152512301,111311302,111301204,101001000,111301200,193713702;
2019-04-16:101011100,121601500,152512301,111311302,111301204,101001000,111301200,193713702,121601501;
2019-11-06:101011100,121601500,152512301,111311302,111301204,101001000,111301200,193713702,121601501,131911801","Wallet; Brokerage Services (""Coinbase""); General API Provider (2013); Money Transfer Platform (2013); Blockchain Explorer (""Blockr.io"", 18/08/2014, until 04/09/2017); Insured Accounts (2014); Exchange (""GDAX"">""Coinbase Pro"", 2015), Debit card (""Coinbase Card"", first 11/2015 in the US, in the UK from 2019-04-11), Education and Training (""Earn"", 12/2018), Merchant Services (""Commerce"", 14/02/2018), Staking-as-a-Service (06/11/2019), Custody for institutional (Vault, 2019/04/16)","2016-01-01:150;
2017-01-01:200;
2018-01-01:300;
2019-01-01:500",TRUE,
10224,CoinCorner,2014-07-01,Private,@CoinCorner,https://www.coincorner.com,2014-06-18,129003C,,,,,,Douglas,United Kingdom,Isle of Man,Native,"2014-01-01:111301200,101001000;
2019-01-01:111301200,101001000,111301204","2014 - Exchange, Merchant Service
2019 - Debit Card, Gift cards",,TRUE,"They have a host of new features like crypto visa cards etc. lined up, so please recheck at the time of final use of this database."
10225,CoinEX (Russia),2013-01-01,Private,,,2013-01-01,,2014-04-01,"Got hacked in March, tried to recover users' funds --> no sign of activity since April 2014. Back up and running in 2019",R,,Russia,,Unidentified,Unidentified,Native,101001000,Multi-Coin exchange,,TRUE,
10227,Coinify,2014-09-03,Private,@coinify,https://coinify.com/,2014-01-01,35847995,,,,Herlev,Denmark,Herlev,Denmark,Denmark,Native,"101011100,111301200,101011101","Brokerage Services (""myConify""); OTC; Merchant Services (""Coinify Merchant""); API Provider","2016-01-01:15;
2017-01-01:20;
2018-01-01:40
",TRUE,
10229,Coincube,2015-05-01,Private,@coincube,https://coincube.io/,2014-08-18,5588571,2017-08-12,"""coincube has just closed its service. They did not manage to live on it. They will make the open source code available to the community by the end of September.""",R,NY,United States,Delaware,United States,Unidentified,Native,"214304100,101001003","Automated Bitcoin Trading/Investment, Market Making Portfolio management",2019-01-01:4,TRUE,"Platform now open source and looking for other platforms to be integrated with

Frpm when they were not opensource
http://web.archive.org/web/20161014183948/https://coincube.io/"
10230,CoinDesk,2013-05-01,Private,@coindesk,https://www.coindesk.com/,2013-04-11,5086263,,,,NY,United States,London,United Kingdom,United States,Native,"162812700,162822801,152532500,152512301","Media; Analytics & Data (Market Data), Events (""Consensus"", Research",,TRUE,"Enity in 2013: CoinDesk Ltd
2016-01-13:Acquired by Digital Currency Group"
10232,Coinfinity,2014-03-01,Private,@coinfinity,https://coinfinity.co/start-en/,2014-04-23,415803A,,,,Graz,Austria,Graz,Austria,Austria,Native,"2014-01-01:193713700,101021200;
2015-01-01:193713700,101011100,101021200,111301200;
2018-01-01:193713700,101011100,101021200,111301200,101011101,121611603","Consulting; ATM Operator; Brokerage Service (2015); Gift card (""BitcoinBon"",2015);Merchant Services(2015); Cardwallet (Fancy paper wallet form my understanding offered through cardwallet,com) (2018); OTC (2018) Investment Services (custody & Strategie) (?)",,TRUE,
10233,Coinfloor,2013-03-01,Private,@coinfloor,https://www.coinfloor.co.uk/,2013-04-18,8493818,,,,London,United Kingdom,London,United Kingdom,United Kingdom,Native,"2013-03-01:101001000,101011101;
2018-01-01:101001000,101011101,121601501",Exchange (Order Book); OTC (Trading); Corporate Trading services; Coinfloor API; Vault services (2018-01-01),,TRUE,
10234,CoinGecko,2014-04-01,Private,@coingecko,https://www.coingecko.com/en,2015-04-15,UEN 201510008G,,,,Singapore,Singapore,Singapore,Singapore,Singapore,Native,"2014-01-01:152512300,152512301,152512302;
2017-01-01:152512300,152512301,152512302,152522400","Data/Analytics, specifically market and price information. Directories 
Industry research (2017)",2019-11-24:13,TRUE,
10235,Coinhills,2014-08-21,Private,@coinhills,https://www.coinhills.com/,,,,,,Seoul,South Korea,Unidentified,Unidentified,Unidentified,Native,"152512300,152512301,152512302","Media/Data, API",,TRUE,
10238,Coinizy,2012-11-01,Private,@coinizy,http://web.archive.org/web/20160604042511/https://www.coinizy.com/,2014-03-01,BC1019811,2017-05-01,"Also called Kardiz. Turned out to be a scam, inactive since mid 2017",R,,Canada,Vancover,Canada,Unidentified,Native,"101011100,111301204",Bitcoin-to-Fiat Only Service; Debit Cards,,TRUE,"Legal Name: COINIZY FINANCIAL SERVICES INC. 
Kardiz.com: http://web.archive.org/web/20170603213304/https://www.kardiz.com/"
10240,CoinJelly,2014-01-01,Private,,http://web.archive.org/web/20140625035503/http://coinjelly.com/,2013-12-01,"168,874,388",2014-12-12,"Apparently sold to another, undisclosed company, but shut down user accounts: no sign of activity since",,Brisbane,Australia,Brisbane,Australia,Australia,Native,"101011100,111301204,121601500","Wallet/Money Transfer Platform; Brokerage Services, Debit Cards",2014-06-25:4,TRUE,"Legal Name: COINJELLY PTY LTD
https://abr.business.gov.au/ABN/View?id=168874388

Stated that they had insured accounts, however this turned out not to be true"
10241,CoinJournal,2015-08-01,Private,@CoinJournal,https://coinjournal.net/,,,,,,Manchester,United Kingdom,,United Kingdom,Unidentified,Native,162812700,Media/News,,TRUE,
10243,CoinMama,2013-05-01,Private,@Coinmamacom,https://www.coinmama.com/,2017-01-27,50677373,,,,Ranaana,Israel,Bratislava,Slovakia,Slovakia,Native,101011100,Brokerage Service,2019-01-01:33,TRUE,"Owned by New Bit Ventures Ltd (which is a company registered in Israel 514907880) 
https://www.israelbizreg.com/new-bit-ventures-ltd
Operated by NBV INTERNATIONAL s.r.o."
10244,CoinMap,2013-04-01,Private,@coinmap,https://coinmap.org/,2013-04-01,,2015-06-13,"Under umbrella firm ""SatoshiLabs""",A,Prague,Czechia,Prague,Czechia,Czechia,Native,152512300,Map showing businesses accepting bitcoins (Directory),,TRUE,
10245,CoinMkt,2013-04-13,Private,@coinmkt,http://web.archive.org/web/20150316124528/https://coinmkt.com/,,,2015-01-29,"Acquired by ""ANX""",A,"Los Angeles, California",United States,"Los Angeles, California",United States,,Native,101001000,Exchange,,TRUE,
10246,Coinmotion,2014-01-01,Private,@coinmotion,https://coinmotion.com/,2013-09-17,2571525-6,,,,Jyvaskyla,Finland,Helsinki,Finland,Finland,Native,"2014-01-01:101001000,121601500;
2019-01-01:101001000,121601500,111301200,101001003",Brokerage (2014); Storage (Wallet) (2014); Merchant services (2019); Third party trading services (Crypto privat banking) (2019),,TRUE,"2016-02-01: Acquired by ""Prasos"""
10247,Coinmetrics,2017-12-01,Private,@coinmetrics,https://coinmetrics.io/,2018-07-09,1345098,,,,Massachusetts,United States,Massachusetts,United States,United States,Native,"152512304,152512301",Market and Network Analytics & Data/Blockchain Intelligence,,TRUE,"Still active but founder went to ""Chainalysis"""
10248,Coinomi,2014-01-01,Private,@coinomiwallet,https://www.coinomi.com/,2016-10-28,10451885,,,,Nicosia,Cyprus,London,United Kingdom,Cyprus,Native,121611601,"Multi-Coin Wallet (Built in exhange),",,TRUE,
10249,CoinOutlet,2014-08-01,Private,@coinoutletinc,https://web.archive.org/web/20160223083601/http://coinoutletatm.com/about/,2014-01-01,,2018-01-01,Defunct,R,Pennsylvania,United States,Unidentified,Unidentified,Unidentified,Native,101021200,Bitcoin ATM Manufacturer,,,
10251,CoinPip,2014-01-14,Private,@coinpip,https://www.coinpayments.net/,2014-01-01,UEN 201402300N,,,,Singapore,Singapore,Singapore,Singapore,Singapore,Native,"2014-01-14:111301200;
2015-01-01:111301200,111311302,111311301,111311300;
2018-01-01:111301200,111311302,111311301,111311300,101011101","Payment Processor; B2B Money Transfer Platform (2015); Payroll (2015) Remittances (2015), OTC (2018)","2016-01-01:4;
2017-01-01:6;
2018-01-01:7
",TRUE,
10263,CoinWallet,2015-03-01,Private,@CoinAppWallet,https://www.coin.space/,2015-02-01,,,,,"2015-03-01:""Unidentified"";
2018-01-01:""La Valetta""","2015-03-01:""Unidentified"";
2018-01-01:""Malta""","2015-03-01:""Unidentified"";
2018-01-01:""La Valetta""","2015-03-01:""Unidentified"";
2018-01-01:""Malta""","2015-03-01:""Unidentified"";
2018-01-01:""Malta""",Native,121611601,"Wallet (software wallet, self-custody)",,TRUE,The company does not mention the location anywhere
10285,CryptoCoinsNews,2013-01-01,Private,@ccnmarkets,https://www.ccn.com/,2015-01-22,"921,020,880",,,,Unidentified,Unidentified,Asker,Norway,Norway,Native,162812700,Media/News,,TRUE,"By the end of 2018, CCN.com became a part of the Norwegian media company вЂњHawkfish ASвЂќ"
10289,CryptoPanic,2017-05-01,Private,@cryptopaniccom,https://cryptopanic.com/,,,,,,Unidentified,Unidentified,Unidentified,Unidentified,Latvia,Native,152512302,News Aggregator,,TRUE,Not Incorporated
10299,Digital Currency Council,2014-09-01,Private,@DCCCertified,http://www.digitalcurrencycouncil.com/,2017-04-07,5116834,,,,"New York, New York",United States,"New York, New York",United States,United States,Native,193713702,Training and Certifications,,TRUE,
10387,Ledger,2014-12-01,Private,@ledger,https://www.ledger.com/,2011-08-24,5.30E+13,,,,Paris,France,Paris,France,France,Native,"2014-12-01:121611602;
2017-05-23:121611602,121601501","Hardware Wallet (Ledger Nano), one of the two leading manufacturers, the other being Trezor, Vault (Ledger Vault, 23 May 2017)","2017-01-01:75;
2018-01-01:140;
2019-01-01:200",TRUE,
10712,PeerNova,2013-01-01,Private,@cloudhashing,,2014-05-30,C3680421,2014-05-30,"Merger with ""HighBitcoin"" to form ""PeerNova""",M,Silicon Valley,United States,Delaware,United States,,Native,131901703,Cloud Mining Contracts,2019-08-22:55,TRUE,
10513,WeExchange,2011-07-01,Private,,https://www.wexchange.com.au/track-order/,2012-10-22,"52,155,326,846",2013-11-01,Apparently Exit Scam,R,Victoria,Australia,Victoria,Australia,Australia,Native,101001000,Exchange,,TRUE,"Legal name:WeExchange Australia, Pty. Ltd.
https://www.sec.gov/litigation/complaints/2018/comp24078.pdf"
10607,"2012-01-01:""ItBit"";
2015-01-01:""Paxos""",2012-01-01,Private,@PaxosGlobal,"https://www.paxos.com
",2015-05-01,1766787,,,,"2012-01-01:""Singapore"";
2015-01-01:""New York""","2012-01-01:""Singapore"";
2015-01-01:""United States""","2012-01-01:""Singapore"";
2015-01-01:""New York""","2012-01-01:""Singapore"";
2015-01-01:""United States""",United States,Native,"2012-01-01:101001000;
2015-01-01:101001000,101011101,101011100;
2017-01-01:101001000,101011101,121601501,101011100;
2018-01-01:101001000,101011101,121601500,101011100,214604200","Exchange, OTC Trading, Custody (2017), Brokerage (Escrow), Stablecoin and Gold-backed token(September, 2018), automated trading (post trade), Market data",,TRUE,"First company obtaining a banking trust charter, enabling it to operate in all 50 states in the United States. Incorporated as Paxos Trust Company LLC
Has offices in Singapore, for customers based in Singapore (ItBit PTE Ltd.), London, NYC"
10610,Seba,2018-01-01,Private,@weareseba,https://www.seba.swiss/,2018-04-24,CHE-434.446.643,,,,Zug,Switzerland,Zug,Switzerland,Switzerland,Native,"173103000,173113100",Digital Asset Bank,,TRUE,
10641,Paradigma,2019-09-01,Private,@paradigmaLU,https://www.paradigma.lu/,2019-09-01,,,,,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Native,193713700,Blockchain consulting firm,1,TRUE,
10642,Polo Digital Asset,2019-10-21,Private,@Poloniex,https://poloniex.com/,,Unverified,,,,Seychelles,Seychelles,,Bermuda,,Native,"101001000,173103000","Order-book (2019), Margin Trading (2019), Lending (2019)",,TRUE,
